date,price
2016-05-15 09:52:00,127.26
2016-05-17 17:57:00,127.82
2016-05-21 14:41:00,128.8
2016-05-24 07:19:00,130.36
2016-05-24 14:50:00,131.67
2016-05-26 19:38:00,133.86
2016-05-28 02:41:00,133.42
2016-05-28 15:39:00,134.6
2016-05-30 21:40:00,135.35
2016-06-01 10:48:00,137.71
2016-06-04 08:48:00,140.61
2016-06-06 22:16:00,142.11
2016-06-09 05:18:00,139.79
2016-06-11 13:10:00,146.33
2016-06-15 02:44:00,150.64
2016-06-15 19:56:00,151.5
2016-06-17 05:04:00,154.37
2016-06-20 19:40:00,151.6
2016-06-22 03:10:00,137.68
2016-06-24 15:56:00,134.67
2016-06-27 14:08:00,131.8
2016-06-28 07:40:00,134.73
2016-06-30 11:20:00,131.99
2016-07-01 04:52:00,130.54
2016-07-03 23:32:00,131.02
2016-07-06 16:08:00,134.48
2016-07-07 06:28:00,133.72
2016-07-12 09:38:00,125.83
2016-07-15 03:28:00,124.91
2016-07-18 05:34:00,126.77
2016-07-31 04:56:00,124.88
2016-08-03 00:56:00,128.44
2016-08-05 02:52:00,128.68
2016-08-08 00:54:00,128.86
2016-08-11 06:30:00,125.37
2016-08-13 14:46:00,124.22
2016-08-16 11:22:00,123.1
2016-08-20 12:44:00,124.0
2016-08-28 01:02:00,126.53
2016-08-30 15:04:00,127.71
2016-09-02 13:04:00,127.72
2016-09-06 16:12:00,126.3
2016-09-07 06:26:00,124.45
2016-09-14 22:10:00,130.88
2016-09-17 22:58:00,134.47
2016-09-26 18:40:00,135.8
2016-10-01 14:56:00,132.91
2016-10-08 12:00:00,132.39
2016-10-13 06:08:00,129.64
2016-10-14 19:24:00,129.88
2016-10-23 19:20:00,127.47
2016-10-27 17:08:00,128.19
2016-10-31 15:56:00,130.13
2016-11-05 10:04:00,130.38
2016-11-08 18:04:00,127.47
2016-11-13 04:20:00,142.87
2016-11-19 21:58:00,141.69
2016-11-22 10:52:00,140.24
2016-11-26 20:36:00,139.61
2016-11-27 19:48:00,141.07
2016-11-29 08:04:00,141.4
2016-12-01 09:48:00,141.11
2016-12-05 00:08:00,141.4
2016-12-06 10:00:00,141.11
2016-12-08 04:16:00,139.39
